device,pop_n,est_m1,knee_m,best_est,max_m,median_ms_establish_at_knee,median_ms_session_at_knee,median_ms_converged_at_knee,max_in_flight,max_peripheral_links,max_total_links,est_m2,est_m3,est_m4,est_m5
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,2,0.0,1,0.0,1,,,,,,,,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,3,0.0,1,0.0,2,,,,,,,0.0,,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,4,0.0,1,0.0,3,,,,,,,0.0,0.0,,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,5,0.0,1,0.0,4,,,,,,,0.0,0.0,0.0,
18130c0f5a36449cc5c1d5e0c17e83ba4d248625655035b08e971693fb29ae40,6,0.0,1,0.0,5,,,,,,,0.0,0.0,0.0,0.0
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,2,0.0,1,0.0,1,,,,,,,,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,3,0.0,1,0.0,2,,,,,,,0.0,,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,4,0.0,1,0.0,3,,,,,,,0.0,0.0,,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,5,0.0,1,0.0,4,,,,,,,0.0,0.0,0.0,
44a266c4c9912ec34ea7934fbbffae1745ab82df0229f8972440ae3f43862fa4,6,0.0,1,0.0,5,,,,,,,0.0,0.0,0.0,0.0
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,2,0.0,1,0.0,1,,,,,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,3,0.0,1,0.0,2,,,,,,,0.0,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,4,0.0,1,0.0,3,,,,,,,0.0,0.0,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,5,0.0,1,0.0,4,,,,,,,0.0,0.0,0.0,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,6,0.0,1,0.0,5,,,,,,,0.0,0.0,0.0,0.0
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,2,0.0,1,0.0,1,,,,,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,3,0.0,2,1.0,2,123789.0,,,0.0,2.0,5.0,1.0,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,4,0.0,1,0.0,3,,,,,,,0.0,0.0,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,5,0.0,1,0.0,4,,,,,,,0.0,0.0,0.0,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,6,0.0,1,0.0,5,,,,,,,0.0,0.0,0.0,0.0
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,2,0.0,1,0.0,1,,,,,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,3,0.0,1,0.0,2,,,,,,,0.0,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,4,0.0,1,0.0,3,,,,,,,0.0,0.0,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,5,0.0,1,0.0,4,,,,,,,0.0,0.0,0.0,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,6,0.0,1,0.0,5,,,,,,,0.0,0.0,0.0,0.0
